,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,The Batman,2022,176,8.4,72,285908,
1,Spider-Man: No Way Home,2021,148,8.5,71,554720,
2,Dune,2021,155,8.1,74,524060,
3,The Dark Knight,2008,152,9.1,84,2529098,534.86
4,CODA,2021,111,8.0,74,70242,
5,Once Upon a Time... In Hollywood,2019,161,7.6,83,678520,142.5
6,Drive My Car,2021,179,7.7,91,27720,
7,Batman Begins,2005,140,8.3,70,1413384,206.85
8,The Godfather,1972,175,9.2,100,1766139,134.97
9,The Shawshank Redemption,1994,142,9.3,81,2565907,28.34
10,The Worst Person in the World,2021,128,7.9,91,31019,
11,The Dark Knight Rises,2012,164,8.4,78,1637702,448.14
12,Joker,2019,122,8.4,59,1168215,335.45
13,Avengers: Endgame,2019,181,8.4,78,1031015,858.37
14,Dunkirk,2017,106,7.8,94,625314,188.37
15,The Wolf of Wall Street,2013,180,8.2,75,1327681,116.9
16,Kingsman: The Secret Service,2014,129,7.7,60,647752,128.26
17,Zack Snyder's Justice League,2021,242,8.1,54,367627,
18,Interstellar,2014,169,8.7,74,1709733,188.02
19,American Psycho,2000,102,7.6,64,557151,15.07
20,Harry Potter and the Sorcerer's Stone,2001,152,7.6,65,745615,317.58
21,Prisoners,2013,153,8.1,70,671793,61.0
22,Inception,2010,148,8.8,74,2251988,292.58
23,Titanic,1997,194,7.9,75,1126410,659.33
24,Pulp Fiction,1994,154,8.9,94,1969906,107.93
25,Knives Out,2019,130,7.9,82,581648,165.36
26,Schindler's List,1993,195,9.0,94,1307639,96.9
27,The Green Mile,1999,189,8.6,61,1247567,136.8
28,Avengers: Infinity War,2018,149,8.5,68,996505,678.82
29,Mad Max: Fury Road,2015,120,8.1,90,961243,154.06
30,Se7en,1995,127,8.6,65,1573250,100.13
31,Pride & Prejudice,2005,129,7.8,82,285117,38.41
32,Deadpool,2016,108,8.0,65,987722,363.07
33,Fight Club,1999,139,8.8,66,2018973,37.03
34,Inglourious Basterds,2009,153,8.3,69,1383202,120.54
35,Forrest Gump,1994,142,8.8,82,1979159,330.25
36,The Silence of the Lambs,1991,118,8.6,85,1375935,130.74
37,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.9,92,1787358,315.54
38,Parasite,2019,132,8.5,96,729364,53.37
39,There Will Be Blood,2007,158,8.2,93,565299,40.22
40,Good Will Hunting,1997,126,8.3,70,930832,138.43
41,Ford v Ferrari,2019,152,8.1,81,360589,117.62
42,The Gentlemen,2019,113,7.8,51,308037,
43,Whiplash,2014,106,8.5,88,799751,13.09
44,Guardians of the Galaxy,2014,121,8.1,76,1131389,333.18
45,Little Women,2019,135,7.8,91,187477,108.1
46,Hacksaw Ridge,2016,139,8.1,71,496024,67.21
47,Django Unchained,2012,165,8.5,81,1482600,162.81
48,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,479879,190.24
49,Avatar,2009,162,7.9,83,1185368,760.51
                                                movie        year  timeMin  imdb    metascore      votes us_grossMillions
0                                                CODA      (2021)  111 min   8.1   74             88,465                -
1                                          The Batman      (2022)  176 min   8.3   72            311,925             #131
2                                                 RRR      (2022)  187 min   9.0   86             45,856                -
3                                                Dune      (2021)  155 min   8.1   74            535,912             #246
4                             Spider-Man: No Way Home      (2021)  148 min   8.5   71            573,819              #79
5                                        Drive My Car      (2021)  179 min   7.6   91             32,376                -
6                                       The Godfather      (1972)  175 min   9.2  100          1,769,700         $134.97M
7                       The Worst Person in the World      (2021)  128 min   7.9   90             34,773                -
8                                   Blade Runner 2049      (2017)  164 min   8.0   81            534,198          $92.05M
9                                     The Dark Knight      (2008)  152 min   9.1   84          2,535,797         $534.86M
10                   Once Upon a Time... In Hollywood      (2019)  161 min   7.6   83            680,776         $142.50M
11                       Zack Snyder's Justice League      (2021)  242 min   8.1   54            370,464                -
12                           The Shawshank Redemption      (1994)  142 min   9.3   81          2,570,150          $28.34M
13                                  Avengers: Endgame      (2019)  181 min   8.4   78          1,035,293         $858.37M
14                                       Pulp Fiction      (1994)  154 min   8.9   94          1,972,946         $107.93M
15                                       Interstellar      (2014)  169 min   8.7   74          1,714,243         $188.02M
16                              The Dark Knight Rises      (2012)  164 min   8.4   78          1,641,493         $448.14M
17                                              Joker  (I) (2019)  122 min   8.4   59          1,173,425         $335.45M
18                                      Batman Begins      (2005)  140 min   8.3   70          1,417,005         $206.85M
19              Harry Potter and the Sorcerer's Stone      (2001)  152 min   7.6   65            746,943         $317.58M
20                             The Godfather: Part II      (1974)  202 min   9.0   90          1,224,086          $57.30M
21                                           Parasite      (2019)  132 min   8.5   96            732,304          $53.37M
22                                    American Psycho      (2000)  102 min   7.6   64            559,213          $15.07M
23                                       Blade Runner      (1982)  117 min   8.1   84            745,143          $32.87M
24                            The Wolf of Wall Street      (2013)  180 min   8.2   75          1,330,525         $116.90M
25                                         Braveheart      (1995)  178 min   8.4   68          1,012,946          $75.60M
26                                         Knives Out      (2019)  130 min   7.9   82            583,226         $165.36M
27                                          Inception      (2010)  148 min   8.8   74          2,255,779         $292.58M
28                                               Heat      (1995)  170 min   8.3   76            630,320          $67.44M
29                      The Mitchells vs the Machines      (2021)  113 min   7.7   81             97,948                -
30                                          Prisoners      (2013)  153 min   8.1   70            673,576          $61.00M
31                                            Titanic      (1997)  194 min   7.9   75          1,127,752         $659.33M
32                                         Fight Club      (1999)  139 min   8.8   66          2,022,476          $37.03M
33                       Kingsman: The Secret Service      (2014)  129 min   7.7   60            648,926         $128.26M
34                                            Dunkirk      (2017)  106 min   7.8   94            627,076         $188.37M
35                                Requiem for a Dream      (2000)  102 min   8.3   68            817,039           $3.64M
36                                 Mad Max: Fury Road      (2015)  120 min   8.1   90            962,917         $154.06M
37                                        Jojo Rabbit      (2019)  108 min   7.9   58            363,957           $0.35M
38                             Avengers: Infinity War      (2018)  149 min   8.5   68          1,000,163         $678.82M
39                               Inglourious Basterds      (2009)  153 min   8.3   69          1,385,604         $120.54M
40                                   Django Unchained      (2012)  165 min   8.5   81          1,485,391         $162.81M
41                                         Goodfellas      (1990)  145 min   8.7   90          1,109,055          $46.84M
42                              To Kill a Mockingbird      (1962)  129 min   8.3   88            310,616             #108
43  The Lord of the Rings: The Fellowship of the Ring      (2001)  178 min   8.9   92          1,789,838         $315.54M
44                                      The Gentlemen      (2019)  113 min   7.8   51            308,990                -
45                                           Deadpool      (2016)  108 min   8.0   65            989,697         $363.07M
46                                     The Green Mile      (1999)  189 min   8.6   61          1,249,741         $136.80M
47                                     Ford v Ferrari      (2019)  152 min   8.1   81            361,853         $117.62M
48                                              Se7en      (1995)  127 min   8.6   65          1,576,153         $100.13M
49                                         Green Book      (2018)  130 min   8.2   69            458,876          $85.08M                                                     movie        year  timeMin  imdb   metascore      votes us_grossMillions
0                                                 Whiplash      (2014)  106 min   8.5  88            801,627          $13.09M
1                                     Call Me by Your Name      (2017)  132 min   7.9  93            254,731          $18.10M
2                                             Little Women      (2019)  135 min   7.8  91            188,404         $108.10M
3                                             Forrest Gump      (1994)  142 min   8.8  82          1,982,588         $330.25M
4                                                Gladiator      (2000)  155 min   8.5  67          1,446,191         $187.71M
5                                         Schindler's List      (1993)  195 min   9.0  94          1,309,457          $96.90M
6                                      There Will Be Blood      (2007)  158 min   8.2  93            566,399          $40.22M
7                                 The Silence of the Lambs      (1991)  118 min   8.6  85          1,377,976         $130.74M
8                                                 The Help      (2011)  146 min   8.1  62            447,666         $169.71M
9                                  Guardians of the Galaxy      (2014)  121 min   8.1  76          1,133,058         $333.18M
10                                           Jurassic Park      (1993)  127 min   8.2  68            940,326         $402.45M
11                                    Little Miss Sunshine      (2006)  101 min   7.8  80            467,466          $59.89M
12                                               Gone Girl      (2014)  149 min   8.1  79            945,356         $167.77M
13                       Spider-Man: Into the Spider-Verse      (2018)  117 min   8.4  87            481,871         $190.24M
14  Pirates of the Caribbean: The Curse of the Black Pearl      (2003)  143 min   8.1  63          1,071,692         $305.41M
15                                       Bohemian Rhapsody      (2018)  134 min   8.0  49            512,719         $216.43M
16                                                  Avatar      (2009)  162 min   7.9  83          1,186,763         $760.51M
17                                  No Country for Old Men      (2007)  122 min   8.2  92            935,922          $74.28M
18                                              The Matrix      (1999)  136 min   8.7  73          1,849,718         $171.48M
19                                                Watchmen      (2009)  162 min   7.7  56            538,998         $107.51M
20                                              Ex Machina      (2014)  108 min   7.7  78            522,293          $25.44M
